"PlayerID","Age","Gender","PlayTimeHours","InGamePurchases","GameDifficulty","SessionsPerWeek","AvgSessionDurationMinutes","PlayerLevel","AchievementsUnlocked","Location_USA","Location_Europe","Location_Asia","Location_Other","Genre_Strategy","Genre_Sports","Genre_Action","Genre_RPG","Genre_Simulation","EngagementLevel"
9000,43,1,16.27111876,0,1,6,108,79,25,0,0,0,1,1,0,0,0,0,1
9001,29,0,5.525961381,0,1,5,144,11,10,1,0,0,0,1,0,0,0,0,1
9002,22,0,8.223755243,0,0,16,142,35,41,1,0,0,0,0,1,0,0,0,2
9003,35,1,5.265351277,1,0,9,85,57,47,1,0,0,0,0,0,1,0,0,1
9004,33,1,15.53194452,0,1,2,131,95,37,0,1,0,0,0,0,1,0,0,1
9005,37,1,20.56185541,0,0,2,81,74,22,0,1,0,0,0,0,0,1,0,0
9006,25,1,9.752716366,0,2,1,50,13,2,1,0,0,0,0,0,1,0,0,0
9007,25,0,4.401729345,0,1,10,48,27,23,0,0,1,0,0,0,0,1,0,1
9008,38,0,18.1527326,0,0,5,101,23,41,0,1,0,0,0,0,0,0,1,1
9009,38,0,23.94277173,0,0,13,95,99,36,0,0,0,1,0,1,0,0,0,2
9010,17,1,4.829915834,0,2,8,95,14,12,1,0,0,0,1,0,0,0,0,2
9011,36,0,5.535980925,1,0,16,124,62,31,0,0,1,0,0,0,0,0,1,2
9012,16,1,18.77623381,1,0,9,18,52,32,1,0,0,0,0,1,0,0,0,2
9013,38,0,8.701959181,0,0,0,156,33,47,1,0,0,0,1,0,0,0,0,0
9014,44,1,17.97520048,0,0,8,41,98,1,1,0,0,0,0,0,0,0,1,0
9015,16,1,7.951511339,0,1,10,156,58,24,0,1,0,0,0,0,0,1,0,2
9016,35,1,17.88789846,0,0,16,154,62,4,0,0,1,0,1,0,0,0,0,2
9017,47,1,17.2721129,0,1,2,131,13,9,1,0,0,0,0,0,0,1,0,0
9018,26,0,19.41607874,0,0,3,135,77,25,0,0,1,0,0,0,1,0,0,1
9019,36,0,19.33882552,0,0,4,56,21,30,0,0,1,0,0,0,0,1,0,0
9020,39,0,1.722580982,0,0,2,177,34,37,1,0,0,0,0,1,0,0,0,1
9021,41,0,16.16768979,0,0,18,159,36,33,1,0,0,0,0,1,0,0,0,2
9022,42,1,10.44812619,0,1,2,120,81,5,1,0,0,0,0,1,0,0,0,0
9023,30,1,17.95983486,0,0,14,117,40,19,0,1,0,0,1,0,0,0,0,2
9024,29,1,22.5647231,0,1,12,161,1,22,0,1,0,0,0,1,0,0,0,2
9025,17,0,10.31145992,0,2,4,82,1,7,1,0,0,0,0,1,0,0,0,1
