"PlayerID","Age","Gender","PlayTimeHours","InGamePurchases","GameDifficulty","SessionsPerWeek","AvgSessionDurationMinutes","PlayerLevel","AchievementsUnlocked","Location_USA","Location_Europe","Location_Asia","Location_Other","Genre_Strategy","Genre_Sports","Genre_Action","Genre_RPG","Genre_Simulation","EngagementLevel"
23999,32,0,15.46432095,0,0,6,15,96,3,1,0,0,0,1,0,0,0,0,0
24000,27,1,11.95956766,0,1,10,113,26,38,0,1,0,0,0,1,0,0,0,1
24001,19,0,10.66541791,1,0,12,118,88,41,1,0,0,0,0,0,1,0,0,2
24002,37,0,1.81409772,0,0,14,157,89,4,0,0,1,0,0,0,1,0,0,2
24003,38,0,9.171293859,0,0,4,132,86,36,0,1,0,0,0,1,0,0,0,1
24004,43,1,11.16957259,0,0,12,83,21,41,1,0,0,0,0,1,0,0,0,1
24005,22,1,7.257519838,0,0,11,61,97,29,0,1,0,0,0,0,0,1,0,1
24006,40,1,18.69096806,0,0,6,59,39,44,0,0,1,0,1,0,0,0,0,1
24007,29,1,4.930743318,0,0,14,61,96,39,0,0,1,0,0,1,0,0,0,1
24008,15,1,8.980099166,0,1,4,124,57,27,1,0,0,0,0,1,0,0,0,1
24009,42,0,12.35477869,0,0,8,140,83,18,1,0,0,0,0,1,0,0,0,1
24010,28,1,12.86029729,0,0,15,140,24,43,0,0,1,0,1,0,0,0,0,1
24011,48,1,3.655804571,0,0,7,165,6,29,1,0,0,0,0,1,0,0,0,1
24012,45,1,1.647671599,0,0,7,15,85,47,0,1,0,0,1,0,0,0,0,1
24013,20,1,21.06835111,1,0,13,99,68,8,0,1,0,0,1,0,0,0,0,1
24014,19,1,2.973590734,1,0,8,60,12,7,0,1,0,0,0,0,0,0,1,1
24015,45,1,15.49249009,0,0,5,69,15,43,1,0,0,0,0,0,0,1,0,1
24016,29,0,17.21469488,0,0,6,24,92,9,1,0,0,0,0,0,0,1,0,0
24017,29,0,18.95125558,0,0,0,169,16,41,0,1,0,0,0,0,0,1,0,0
24018,19,1,2.239254409,1,1,15,103,45,35,0,1,0,0,0,1,0,0,0,2
24019,42,1,7.166375191,1,0,9,49,85,25,0,1,0,0,0,0,0,1,0,1
24020,47,1,4.725387326,1,0,11,29,17,31,1,0,0,0,0,0,0,0,1,1
24021,25,1,1.147000766,0,2,19,95,37,4,0,0,1,0,1,0,0,0,0,2
24022,20,1,14.98334855,0,2,8,129,50,38,1,0,0,0,0,1,0,0,0,1
24023,37,0,3.6120592,1,2,15,51,90,43,1,0,0,0,0,1,0,0,0,1
24024,16,1,4.525307861,0,0,9,78,60,25,0,0,1,0,0,0,0,0,1,1
24025,29,1,10.35644938,0,0,2,167,57,4,0,1,0,0,1,0,0,0,0,1
24026,37,1,2.827681411,0,1,14,148,3,37,1,0,0,0,0,0,0,1,0,2
24027,36,1,15.11548288,0,1,7,54,31,45,1,0,0,0,1,0,0,0,0,1
24028,23,1,18.72080737,0,0,16,27,32,1,0,1,0,0,1,0,0,0,0,1
24029,44,1,14.55908793,0,0,8,77,44,30,1,0,0,0,0,0,1,0,0,1
24030,30,1,10.1452149,0,0,10,67,66,15,1,0,0,0,0,0,0,1,0,1
24031,44,0,19.93687309,1,0,10,138,61,48,0,0,0,1,0,1,0,0,0,2
24032,23,0,19.49614797,0,2,16,97,32,32,1,0,0,0,0,0,0,0,1,2
24033,15,0,21.83122787,0,0,3,67,47,40,1,0,0,0,1,0,0,0,0,0
24034,22,1,21.72647629,0,1,16,84,2,10,1,0,0,0,0,0,1,0,0,1
24035,32,1,19.42291113,0,0,7,98,49,24,0,0,0,1,0,1,0,0,0,1
24036,41,0,13.56399428,0,2,5,161,38,24,0,0,0,1,0,0,0,0,1,1
24037,32,1,0.378512249,0,1,0,89,99,30,1,0,0,0,0,0,0,1,0,0
24038,46,1,17.41985391,0,2,15,56,21,8,0,0,1,0,0,1,0,0,0,1
24039,46,0,11.58581298,0,0,5,26,43,34,1,0,0,0,0,0,0,1,0,0
24040,35,1,2.054485646,0,2,15,103,95,31,1,0,0,0,0,0,0,1,0,1
24041,46,1,17.50951987,0,0,2,135,46,41,0,1,0,0,0,0,1,0,0,1
